1,3885,1
1,670,1
1,3501,4
1,4154,4
1,2566,1
1,25,1
1,1784,6
1,4866,2
1,724,6
1,3874,6
1,1805,7
1,1408,6
1,2718,5
1,2037,1
1,4602,1
1,1785,4
1,563,5
1,1276,6
1,779,1
1,4066,2
1,3149,2
1,3297,1
1,3321,2
1,2737,8
1,1430,2
1,487,1
1,4157,8
1,1576,4
1,2994,1
1,2344,1
1,3292,4
1,1305,8
1,1423,7
1,3456,1
1,4868,8
1,1413,7
1,4270,6
1,4507,1
1,4189,1
1,3762,1
1,1296,6
1,4736,8
1,4236,6
1,4212,8
1,3886,8
1,2369,2
1,4256,1
1,4646,5
1,122,1
1,3646,1
1,2332,6
1,2956,2
1,4923,8
1,4236,6
1,4884,1
1,1725,4
1,1387,8
1,1583,6
1,1683,1
1,2741,8
1,1427,1
1,4580,8
1,3354,4
1,3928,2
1,916,1
1,705,4
1,279,1
1,3092,1
1,2950,1
1,1876,1
1,114,7
1,797,4
1,2534,1
1,3936,1
1,3811,1
1,4672,2
1,3976,6
1,2272,6
1,1722,1
1,665,6
1,2807,1
1,1039,1
1,591,8
1,3839,1
1,2287,6
1,3630,4
1,534,1
1,2196,1
1,2787,2
1,4278,1
1,4560,5
1,1757,5
1,1862,1
1,512,4
1,3288,7
1,1095,1
1,4333,1
1,1968,4
1,2270,1
1,909,4
1,338,1
1,3923,1
1,4010,8
1,2318,6
1,4263,1
1,3129,2
1,903,1
1,151,1
1,649,6
1,1579,2
1,3658,2
1,3865,2
1,743,6
1,3979,1
1,827,1
1,3586,4
1,393,1
1,1970,5
1,4080,1
1,2650,1
1,4737,2
1,1584,5
1,2891,7
1,952,7
1,1962,7
1,4994,7
1,1719,1
1,4543,1
1,3489,1
1,149,3
1,2407,5
1,3385,4
1,2013,6
1,771,1
1,2806,8
1,4747,5
1,4797,1
1,4950,7
1,4181,5
1,3271,5
1,4346,3
1,4319,6
1,3810,7
1,827,1
1,398,2
1,2545,3
1,466,1
1,2190,1
1,1560,1
1,1896,8
1,4978,1
1,4348,1
1,4740,7
1,1272,2
1,243,7
1,4160,8
1,3444,1
1,2981,1
1,1074,7
1,2676,1
1,279,1
1,2156,5
1,954,8
1,1639,1
1,4689,1
1,4237,2
1,1285,1
1,1887,1
1,3668,1
1,3912,1
1,59,8
1,1109,1
1,336,2
1,3529,1
1,4380,1
1,1388,1
1,3465,2
1,696,2
1,1874,1
1,4180,5
1,3479,4
1,3475,3
1,4267,4
1,1473,1
1,3255,1
1,1494,1
1,4724,7
1,3904,1
1,4126,7
1,3681,3
1,3969,8
1,2026,2
1,654,7
1,798,6
1,4084,3
1,153,1
1,2720,1
1,4118,3
1,4742,8
1,2302,1
1,348,7
1,2612,2
1,980,2
1,1494,1
1,4879,4
1,827,1
1,3887,6
1,1707,2
1,2371,1
1,502,1
1,301,5
1,4309,4
1,355,2
1,4414,4
1,1970,5
1,2201,5
1,1754,1
1,162,1
